sample	taxon	contig_p	bin_p
SRR11124795	d__Bacteria	25.94516297081674	14.314777140743482
SRR11124795	d__Archaea	52.060075495944105	0.602361256124006
SRR11124817	d__Bacteria	36.29853450866909	24.140749893641892
SRR11124817	d__Archaea	0.0	0.0
SRR11124818	d__Bacteria	20.37032255684857	4.559873116574147
SRR11124818	d__Archaea	0.0	0.0
SRR11124839	d__Bacteria	59.56531901423603	15.415990105829852
SRR11124839	d__Archaea	1.0135135135135136	0.0
SRR11124843	d__Bacteria	60.41303310253099	38.113415621106014
SRR11124843	d__Archaea	0.0	0.0
SRR11124885	d__Bacteria	46.835718904534616	15.759824620012417
SRR11124885	d__Archaea	4.316546762589928	0.0
SRR11124889	d__Bacteria	45.58169354795261	27.707509100606824
SRR11124889	d__Archaea	0.0	0.0
SRR11124898	d__Bacteria	38.639077141214685	21.749146623796964
SRR11124898	d__Archaea	91.02689829083776	73.3328663491174
SRR11124901	d__Bacteria	44.8573878372155	2.9131420122645855
SRR11124901	d__Archaea	71.27192982456141	0.24853801169590645
SRR11124909	d__Bacteria	43.61038609857035	12.37170217268623
SRR11124909	d__Archaea	93.5042677599301	0.0
SRR11124915	d__Bacteria	36.625211961510864	15.589276384447736
SRR11124915	d__Archaea	6.622894661718528	0.0
SRR11124956	d__Bacteria	33.611374532716965	1.7619788377716512
SRR11124956	d__Archaea	6.537282941777324	0.0
SRR11124957	d__Bacteria	44.791076361458785	1.8518173929077102
SRR11124957	d__Archaea	4.139290407358739	0.0
SRR11124973	d__Bacteria	43.48970346163744	11.152503362580909
SRR11124973	d__Archaea	1.787884047908349	0.0
SRR11124986	d__Bacteria	59.277804140039066	18.791559077827557
SRR11124986	d__Archaea	59.967376373626365	0.6696428571428571
SRR11124987	d__Bacteria	37.13724769196423	12.299893626800793
SRR11124987	d__Archaea	0.0	0.0
SRR11124998	d__Bacteria	38.454835374378995	7.132547817959897
SRR11124998	d__Archaea	84.91041162227603	0.09685230024213075
SRR11124999	d__Bacteria	37.50472035416717	26.168036573705823
SRR11124999	d__Archaea	93.76039143033586	89.7320792361408
SRR11125028	d__Bacteria	46.9426073310167	16.213812470870035
SRR11125028	d__Archaea	2.7027027027027026	0.0
SRR11125031	d__Bacteria	51.283399777375685	15.289485169003243
SRR11125031	d__Archaea	1.076555023923445	0.0
SRR11125046	d__Bacteria	41.12629393797485	20.584884428011264
SRR11125046	d__Archaea	0.0	0.0
SRR11125061	d__Bacteria	59.27086148636821	32.674838223617606
SRR11125061	d__Archaea	0.0	0.0
SRR11125084	d__Bacteria	29.311673327291526	15.058734601047869
SRR11125084	d__Archaea	94.8905207480299	86.69199479117722
SRR11125086	d__Bacteria	49.52715736445231	24.453265738836546
SRR11125086	d__Archaea	7.605633802816901	0.0
SRR11125089	d__Bacteria	44.09131702625553	26.124268543965645
SRR11125089	d__Archaea	8.407738095238097	0.0
SRR11125090	d__Bacteria	31.650796052702688	13.623988345937352
SRR11125090	d__Archaea	92.1994884910486	53.15517511352367
SRR11125094	d__Bacteria	56.54310350114374	28.743384377625553
SRR11125094	d__Archaea	38.10099057743416	0.0
SRR11125112	d__Bacteria	58.77185444772803	30.706004983916223
SRR11125112	d__Archaea	93.44638322274105	0.15018705114551759
SRR11125132	d__Bacteria	63.52725269747138	20.48405197265464
SRR11125132	d__Archaea	88.4878023352794	81.08319432860718
SRR11125155	d__Bacteria	38.68587207326665	17.25516195799144
SRR11125155	d__Archaea	57.243947858473	37.80792764032987
SRR11125165	d__Bacteria	37.146890731888895	17.17197853162228
SRR11125165	d__Archaea	83.81183640432319	78.94110365185925
SRR11125167	d__Bacteria	34.591938176429764	5.673663084050794
SRR11125167	d__Archaea	63.845156510464896	0.13582762239920973
SRR11125179	d__Bacteria	41.25390044576523	8.48532689450223
SRR11125179	d__Archaea	14.796425024826215	0.0
SRR11125183	d__Bacteria	41.24031261164284	4.63640333159764
SRR11125183	d__Archaea	21.099853823277385	0.0604869197036141
SRR11125186	d__Bacteria	49.573088493735376	27.392525805712175
SRR11125186	d__Archaea	41.236821623151485	0.0
SRR11125213	d__Bacteria	62.688127922394074	29.491721605889037
SRR11125213	d__Archaea	92.71613747175645	0.047568081817100726
SRR11125219	d__Bacteria	75.10636816872733	23.432755305357126
SRR11125219	d__Archaea	83.49740224227509	0.0
SRR11125224	d__Bacteria	67.10968399785932	41.237661856492785
SRR11125224	d__Archaea	49.97882253282507	0.0
SRR11125232	d__Bacteria	63.69237734684599	38.12515373734295
SRR11125232	d__Archaea	0.8944954128440368	0.0
SRR11125248	d__Bacteria	68.2930237636013	30.22424396812111
SRR11125248	d__Archaea	61.93706425475787	0.3014885999623139
SRR11125256	d__Bacteria	41.83276804160204	22.238329997361255
SRR11125256	d__Archaea	93.03421708588262	0.0
SRR11125259	d__Bacteria	61.720583409398635	16.925932156182526
SRR11125259	d__Archaea	80.23184185473484	76.171809374475
SRR11125283	d__Bacteria	47.02303244311274	15.80290112498919
