accession,assembly_f_unweighted,assembly_f_weighted,assembly_f_readmapped,assembly_f_readmapped_w,ref_f_unweighted,ref_f_weighted,f_reads_mapped,assembly_refmap_isect_w,yaml_n_bases,yaml_n_reads,yaml_kmers,yaml_known_hashes,yaml_unknown_hashes,yaml_total_hashes,w_isect_all,w_isect_matches,w_no_isect,w_isect_mapassem,w_mapassem_only,w_map_only,biome1,biome2,biome3
SRR3961740,0.0913730601706724,0.8178437349030595,0.3572763457780958,0.8675725962760394,0.0949181037394295,0.7797609323676432,0.8394610753648472,0.7706153634227687,3224235470,21928632,398062666,37940,361773,399713,1985949,2009518,320504,2107661,2235817,1988744,Environmental,Environmental:Aquatic,Environmental:Aquatic:Thermal springs
SRR4069403,0.0558191795139796,0.1001180898959332,0.0974078912986673,0.1405437502935473,0.0265847922654814,0.0375337998778836,0.0789880609896432,0.0152208482343547,406214579,3615040,193048372,5087,186263,191350,4537,11188,250516,29843,41893,5519,Environmental,Environmental:Aquatic,Environmental:Aquatic:Sediment
SRR4305336,0.328725452445129,0.740725614950632,0.6531831600564755,0.8440831502325642,0.5439673982800622,0.8116849397846361,0.9265291395363118,0.6856900512066171,798143133,8533492,158372561,84761,71059,155820,371053,439236,23321,400835,456768,378184,Host-associated,Host-associated:Human,Host-associated:Human:Digestive system
SRR490744,0.3127536738978306,0.7805215638113602,0.648110566829951,0.8645006180519164,0.4057732680195929,0.7764052180383143,0.8713756555467098,0.7220486520867753,305701628,1924348,56454443,23194,33966,57160,180497,194085,21932,195114,216107,182145,Engineered,Engineered:Bioreactor,Engineered:Bioreactor:Continuous culture
SRR5248299,0.1790198369041273,0.9703228870835272,0.9448218761696288,0.9987438772178078,0.1243407546870206,0.8104162997120429,0.9178925670845666,0.8071715962278714,6264526094,41799480,88659747,10963,77206,88169,4078517,4094912,4614,4902896,5046503,4093179,Environmental,Environmental:Aquatic,Environmental:Aquatic:Thermal springs
SRR5438753,0.0574333923699905,0.8658292544754539,0.6645952308392186,0.9441407112976729,0.0435516806308218,0.8159593417877885,0.883405716737162,0.8107770026690092,10526089345,70265186,683579740,29582,649657,679239,6822472,6866080,456303,7285722,7944692,6852342,Engineered,Engineered:Food production,Engineered:Food production:Fermented beverages
SRR5574507,0.3464271493920632,0.7197246865730402,0.5135051917585784,0.7990934348693901,0.6101883435416282,0.8132338645803634,0.880231047989755,0.6729016836260605,3500448498,23413664,1019446882,608395,388666,997061,1883540,2276353,265494,2014604,2236772,1979482,Host-associated,Host-associated:Mammals,Host-associated:Mammals:Digestive system
SRR5808811,0.0407588514011577,0.0707320424698884,0.0750744765370005,0.1059019346641565,0.0109969081022848,0.0145812359554646,0.0551648668962475,0.0050985395522141,3062653150,20321666,2150254692,23780,2138646,2162426,12503,35760,2172917,173456,259721,15942,Environmental,Environmental:Aquatic,Environmental:Aquatic:Estuary
SRR5808830,0.0426132617990437,0.0753686124806973,0.0738133545874238,0.1065673074326943,0.0173244629228115,0.0215493177326766,0.0649868930668116,0.0060836627743418,1430568818,9491160,1009536851,17476,991271,1008747,6985,24742,1009494,86532,122356,8438,Environmental,Environmental:Aquatic,Environmental:Aquatic:Estuary
SRR5924454,0.2276334944077029,0.901099231705361,0.7690311573390181,0.976256551517299,0.1892313855376355,0.4625684925154056,0.7962701827860142,0.4469940298828532,7944467868,52973856,563481710,105811,453351,559162,2867519,2967431,112792,5780657,6262800,2927906,Engineered,Engineered:Wastewater,Engineered:Wastewater:Activated Sludge
