accession,ref_f_unweighted,ref_f_weighted,n_matches,biome3
ERR2241667,0.3453441638318507,0.5972213359748569,11993,Host-associated:Animal:Digestive system
ERR2241671,0.4074829564037204,0.7096378206104917,13375,Host-associated:Animal:Digestive system
ERR2241673,0.3767120777396436,0.5753801076435021,12099,Host-associated:Animal:Digestive system
ERR2241674,0.4391806821383245,0.7599243327766193,15147,Host-associated:Animal:Digestive system
ERR2241676,0.3856834323041274,0.6949391126515544,9363,Host-associated:Animal:Digestive system
ERR2241678,0.3786624841485822,0.4686975912228338,7487,Host-associated:Animal:Digestive system
ERR2241679,0.3532886027782311,0.6499490017692607,13959,Host-associated:Animal:Digestive system
ERR2241685,0.4067491265283461,0.5913215839107455,9483,Host-associated:Animal:Digestive system
ERR2241690,0.3894887697362296,0.8048129232497474,7571,Host-associated:Animal:Digestive system
ERR2241692,0.3428264051779055,0.8008755389141161,7526,Host-associated:Animal:Digestive system
ERR2241693,0.3582524035534789,0.7862354251074753,6715,Host-associated:Animal:Digestive system
ERR2241701,0.378058904431845,0.7373170135726503,6770,Host-associated:Animal:Digestive system
ERR2241702,0.2504749756935856,0.677762729583957,5312,Host-associated:Animal:Digestive system
ERR2241704,0.3209601494841626,0.5303797917065458,5811,Host-associated:Animal:Digestive system
ERR2241705,0.3760761089248766,0.5152812374534292,10872,Host-associated:Animal:Digestive system
ERR2241707,0.3480249300728645,0.493350471375578,10300,Host-associated:Animal:Digestive system
ERR2241712,0.3484409895505102,0.563150535241066,12342,Host-associated:Animal:Digestive system
ERR2241714,0.3576041114515002,0.5842063107622453,12382,Host-associated:Animal:Digestive system
ERR2241715,0.402523157356161,0.584205781155127,6833,Host-associated:Animal:Digestive system
ERR2241717,0.3382707668867023,0.577129149472408,11419,Host-associated:Animal:Digestive system
ERR2241722,0.3557841680933409,0.4798309327007852,11034,Host-associated:Animal:Digestive system
ERR2241723,0.2803735571958614,0.549590539634433,12413,Host-associated:Animal:Digestive system
ERR2241724,0.3676539939061412,0.5403764324094363,11681,Host-associated:Animal:Digestive system
ERR2241728,0.3690202505109077,0.7923359835577911,5565,Host-associated:Animal:Digestive system
ERR2241731,0.3133466634401282,0.6907433429326908,6058,Host-associated:Animal:Digestive system
ERR2241732,0.3254351139109394,0.8332022732592279,3722,Host-associated:Animal:Digestive system
ERR2241733,0.2874327104299177,0.597022322892738,5803,Host-associated:Animal:Digestive system
ERR2241736,0.3359919595764519,0.6696874675284948,6504,Host-associated:Animal:Digestive system
ERR2241737,0.4022061665009018,0.7643075335308808,7862,Host-associated:Animal:Digestive system
ERR2241743,0.3785913294148312,0.7508994118865087,7467,Host-associated:Animal:Digestive system
ERR2241746,0.4066905524695886,0.6399525209854982,11156,Host-associated:Animal:Digestive system
ERR2241757,0.4471576008243836,0.6666939934329466,11863,Host-associated:Animal:Digestive system
ERR2241760,0.4474813134068421,0.7663739193010551,6700,Host-associated:Animal:Digestive system
ERR2241762,0.280899764467766,0.8180408873407954,3873,Host-associated:Animal:Digestive system
ERR2241764,0.3116710997394783,0.8706678333165939,4269,Host-associated:Animal:Digestive system
ERR2241768,0.3515119079473744,0.569053005934525,11048,Host-associated:Animal:Digestive system
ERR2241769,0.4018221646915899,0.6516084298805476,12702,Host-associated:Animal:Digestive system
ERR2241770,0.2668551266789898,0.7627014636995316,4293,Host-associated:Animal:Digestive system
ERR2241772,0.4342099547932014,0.6503087236112823,11734,Host-associated:Animal:Digestive system
ERR2241773,0.4295217714921615,0.6371468150685289,11979,Host-associated:Animal:Digestive system
ERR2241775,0.4136892322755156,0.6153976402421419,12071,Host-associated:Animal:Digestive system
ERR2241778,0.3911940105632108,0.6025901947810841,12479,Host-associated:Animal:Digestive system
ERR2241779,0.4464372913522891,0.6756859036894065,12423,Host-associated:Animal:Digestive system
ERR2241784,0.3477757030153373,0.7667224107183096,6700,Host-associated:Animal:Digestive system
ERR2241786,0.4559792188512638,0.634051043311996,8705,Host-associated:Animal:Digestive system
ERR2241787,0.4659825033645361,0.6456672402970351,9060,Host-associated:Animal:Digestive system
ERR2241789,0.31394838236785,0.5408737734834839,9424,Host-associated:Animal:Digestive system
ERR2241791,0.2052721549138647,0.8226333431868506,2806,Host-associated:Animal:Digestive system
ERR2241792,0.3301791373534783,0.5660756744896048,8851,Host-associated:Animal:Digestive system
ERR2241793,0.2776781294526298,0.5527658336406294,12144,Host-associated:Animal:Digestive system
ERR2241794,0.3046663965423021,0.7357692431693316,5259,Host-associated:Animal:Digestive system
ERR2241799,0.3663695271246031,0.7472974255671452,5669,Host-associated:Animal:Digestive system
ERR2241800,0.2472826190194101,0.461774437161718,11519,Host-associated:Animal:Digestive system
ERR2241802,0.3250154481905137,0.7689899849344688,5720,Host-associated:Animal:Digestive system
ERR2241807,0.2704592078269482,0.8025810223489042,4950,Host-associated:Animal:Digestive system
ERR2241808,0.2343626163575508,0.7151263949224431,5931,Host-associated:Animal:Digestive system
ERR2241809,0.2611943193087773,0.7506125442688356,4902,Host-associated:Animal:Digestive system
ERR2241817,0.3011258369626831,0.5679968830627201,13045,Host-associated:Animal:Digestive system
ERR2241820,0.2923729676717473,0.4492326190335196,9480,Host-associated:Animal:Digestive system
ERR2241822,0.2572526286704528,0.4142678739126049,9803,Host-associated:Animal:Digestive system
ERR2241825,0.2576610919490523,0.3590888056034828,9465,Host-associated:Animal:Digestive system
ERR2241829,0.2696084674744984,0.4945770840317972,8324,Host-associated:Animal:Digestive system
ERR2241832,0.3081310913193303,0.4702626192817841,10174,Host-associated:Animal:Digestive system
ERR2241833,0.2969176171364061,0.5317076950517399,9791,Host-associated:Animal:Digestive system
ERR2241834,0.3183059670316688,0.4973134264583875,11297,Host-associated:Animal:Digestive system
ERR2241837,0.3013285180670984,0.5413070610671037,9844,Host-associated:Animal:Digestive system
ERR2241841,0.2309776922290344,0.4617943905961578,12333,Host-associated:Animal:Digestive system
ERR2241842,0.2889453441145386,0.5394198270629277,10871,Host-associated:Animal:Digestive system
ERR2241845,0.2786753116063504,0.514368418506394,10614,Host-associated:Animal:Digestive system
ERR2241846,0.2699645840899257,0.4784861541223464,11148,Host-associated:Animal:Digestive system
ERR2241848,0.2986252345828707,0.7296727958200705,6493,Host-associated:Animal:Digestive system
ERR2241854,0.3301417517970795,0.6453211283804542,7812,Host-associated:Animal:Digestive system
ERR2241855,0.3358435895227431,0.6207020466675062,7252,Host-associated:Animal:Digestive system
ERR2241858,0.4374616998754075,0.7085848240769982,6977,Host-associated:Animal:Digestive system
ERR2241859,0.3113713621369841,0.6564107469376147,8000,Host-associated:Animal:Digestive system
ERR2241860,0.2006724337911808,0.6610521856549022,4547,Host-associated:Animal:Digestive system
ERR2241861,0.2518347661982214,0.5857217329992949,5328,Host-associated:Animal:Digestive system
ERR2241862,0.3464439155563706,0.6360274580658068,8065,Host-associated:Animal:Digestive system
ERR2241866,0.2652120550932684,0.7693853703489744,4535,Host-associated:Animal:Digestive system
ERR2241867,0.280366145269917,0.5774328375386066,10316,Host-associated:Animal:Digestive system
ERR2241870,0.2803912904123271,0.558117957947455,12400,Host-associated:Animal:Digestive system
ERR2241871,0.3187198839609199,0.5634207546502165,9862,Host-associated:Animal:Digestive system
ERR2241874,0.3092732120647144,0.6126967130599075,11684,Host-associated:Animal:Digestive system
ERR2241876,0.2966615462187148,0.556931253372641,11232,Host-associated:Animal:Digestive system
ERR2241878,0.2881361506205551,0.5364872590874846,11760,Host-associated:Animal:Digestive system
ERR2241879,0.2881816689984627,0.5699180432707918,12223,Host-associated:Animal:Digestive system
ERR2241880,0.3237778807393658,0.5818964527734264,11791,Host-associated:Animal:Digestive system
ERR2241881,0.3127237956239259,0.6301716341419298,11391,Host-associated:Animal:Digestive system
ERR2241884,0.2988084326304456,0.622259846638421,11156,Host-associated:Animal:Digestive system
ERR2241902,0.2142649752087045,0.7491705307494781,6045,Host-associated:Animal:Digestive system
ERR2241904,0.3081698371166576,0.7440079569627054,7409,Host-associated:Animal:Digestive system
ERR2241906,0.3008080717888526,0.8395668843349529,4080,Host-associated:Animal:Digestive system
ERR2241911,0.2458799716015386,0.7661991436093066,3904,Host-associated:Animal:Digestive system
