accession,ref_f_unweighted,ref_f_weighted,n_matches,biome3
ERR3285562,0.57455683,0.5401170474,513,Host-associated:Mammals:Gastrointestinal tract
SRR18439537,30.7%,51.8%,32495,Host-associated:Mammals:Gastrointestinal tract
SRR5790663,38.2%,51.7%,981,Host-associated:Mammals:Gastrointestinal tract
SRR18439533,30.7%,51.0%,32783,Host-associated:Mammals:Gastrointestinal tract
SRR18439531,29.8%,49.8%,32914,Host-associated:Mammals:Gastrointestinal tract
SRR17257162,0.2328676558,0.4603000742,25700,Host-associated:Mammals:Gastrointestinal tract
SRR17257172,0.2250128777,0.4442934994,17933,Host-associated:Mammals:Gastrointestinal tract
SRR17257133,0.2329413928,0.4372015842,25831,Host-associated:Mammals:Gastrointestinal tract
SRR15429254,17.8%,40.1%,11063,Host-associated:Mammals:Gastrointestinal tract
SRR15429253,18.1%,38.8%,12104,Host-associated:Mammals:Gastrointestinal tract
SRR5790649,0.3172905526,0.3811594203,145,Host-associated:Mammals:Gastrointestinal tract
SRR15429280,0.1891598548,0.3475303745,9349,Host-associated:Mammals:Gastrointestinal tract
SRR15429289,0.1869502523,0.3406112794,8791,Host-associated:Mammals:Gastrointestinal tract
SRR15429279,0.1881137853,0.3341682548,9880,Host-associated:Mammals:Gastrointestinal tract
SRR15429288,0.1853407376,0.3145786841,9916,Host-associated:Mammals:Gastrointestinal tract
SRR5808805,0.4300546285,0.4495266143,31644,Environmental:Aquatic:Estuary
SRR5808806,0.4060070782,0.4190498812,38396,Environmental:Aquatic:Estuary
SRR5808807,0.4101535584,0.4229962874,31021,Environmental:Aquatic:Estuary
SRR5808808,0.4141298859,0.4261661445,34834,Environmental:Aquatic:Estuary
SRR5808809,0.4370406287,0.4549910311,31085,Environmental:Aquatic:Estuary
SRR5808810,0.4126898477,0.4205839838,28169,Environmental:Aquatic:Estuary
SRR5808811,0.4092623703,0.4229985918,38818,Environmental:Aquatic:Estuary
SRR5808812,0.4064469474,0.4244655159,42882,Environmental:Aquatic:Estuary
SRR5808813,0.4052904714,0.423311344,40730,Environmental:Aquatic:Estuary
SRR5808814,0.4143245927,0.4270701556,29684,Environmental:Aquatic:Estuary
SRR5808817,0.4113024356,0.4212510274,24775,Environmental:Aquatic:Estuary
SRR5808820,0.4306356239,0.4435215553,22713,Environmental:Aquatic:Estuary
SRR5808821,0.4164848848,0.4318881322,36450,Environmental:Aquatic:Estuary
SRR5808822,0.4187760807,0.4326931896,28708,Environmental:Aquatic:Estuary
SRR5808823,0.3891640985,0.4036620434,50414,Environmental:Aquatic:Estuary
SRR5808824,0.404708055,0.4183720848,41069,Environmental:Aquatic:Estuary
SRR5808826,0.3995213808,0.4090423882,34717,Environmental:Aquatic:Estuary
SRR5808827,0.4201174454,0.4357164029,32869,Environmental:Aquatic:Estuary
SRR5808828,0.4273485653,0.4450317366,38291,Environmental:Aquatic:Estuary
SRR5808829,0.4204777358,0.4324979965,24622,Environmental:Aquatic:Estuary
SRR5808830,0.4384552363,0.4539315196,22520,Environmental:Aquatic:Estuary
SRR5808831,0.4227192561,0.4335753804,21452,Environmental:Aquatic:Estuary
SRR5808832,0.4226938225,0.4328778554,18731,Environmental:Aquatic:Estuary
SRR5808833,0.4341529522,0.4480839668,23701,Environmental:Aquatic:Estuary
SRR5808834,0.4350571469,0.4504170872,23660,Environmental:Aquatic:Estuary
SRR5898978,0.4400756794,0.8124941503,5936,Host-associated:Human:Digestive system
SRR5915270,0.4449385597,0.5990006522,39084,Environmental:Aquatic:Marine
SRR5915537,0.332107458,0.4589222504,51408,Environmental:Aquatic:Marine
SRR5915611,0.319066267,0.4315599223,49585,Environmental:Aquatic:Marine
SRR5915829,0.3312268281,0.3939147596,57381,Environmental:Aquatic:Marine
SRR5916712,0.3676712957,0.4644752263,53351,Environmental:Aquatic:Marine
SRR5916806,0.3693469988,0.5293306958,40954,Environmental:Aquatic:Marine
SRR5917137,0.370277819,0.4509863275,46641,Environmental:Aquatic:Marine
SRR5918694,0.405526905,0.5171404556,51414,Environmental:Aquatic:Marine
SRR5924194,0.5416227061,0.8847548942,11913,Engineered:Wastewater:Activated Sludge
SRR5924453,0.5713483058,0.8527709904,12825,Engineered:Wastewater:Activated Sludge
SRR5924454,0.5401338749,0.7571386086,10502,Engineered:Wastewater:Activated Sludge
SRR5924463,0.3579941493,0.4241998478,35252,Environmental:Aquatic:Marine
SRR5924853,0.3624024412,0.4908203571,46534,Environmental:Aquatic:Marine
SRR5947823,0.5307438698,0.9261990731,7599,Host-associated:Human:Digestive system
SRR5997549,0.5029150902,0.5589764966,15165,Environmental:Aquatic:Freshwater
SRR6028289,0.7107228916,0.8807078118,5570,Host-associated:Human:Digestive system
SRR6028362,0.6505415642,0.8620712079,4219,Host-associated:Human:Digestive system
SRR6028422,0.6546184739,0.8954593888,5820,Host-associated:Human:Digestive system
SRR6028522,0.6315460297,0.8869328649,5570,Host-associated:Human:Digestive system
SRR6038191,0.3381564845,0.9574049914,468,Host-associated:Human:Digestive system
SRR6038254,0.7076063019,0.9292056159,1201,Host-associated:Human:Digestive system
SRR6038267,0.4479416125,0.93698321,1915,Host-associated:Human:Digestive system
SRR6038390,0.3402967678,0.9112166034,4585,Host-associated:Human:Digestive system
SRR6038404,0.4140448462,0.8829506595,1263,Host-associated:Human:Digestive system
SRR6038487,0.7149604289,0.9537876162,1242,Host-associated:Human:Digestive system
SRR6038515,0.4461595002,0.9251876053,760,Host-associated:Human:Digestive system
SRR6038532,0.4432533769,0.8874303002,4402,Host-associated:Human:Digestive system
SRR6054560,0.8066490639,0.8878395062,2110,Host-associated:Human:Digestive system
SRR6059112,0.5685922052,0.7859141934,4309,Host-associated:Human:Digestive system
SRR6145077,0.4159957206,0.5384760844,32378,Host-associated:Human:Skin
SRR6145083,0.4682984042,0.6127998572,28765,Host-associated:Human:Skin
SRR6145084,0.3675364858,0.4713612821,27742,Host-associated:Human:Skin
SRR6193124,0.4506980612,0.5683691149,42883,Environmental:Aquatic:Marine
SRR6216717,0.2926785714,0.5448509366,7091,Host-associated:Human:Skin
SRR6216724,0.3385479716,0.5724288413,7227,Host-associated:Human:Skin
SRR6216742,0.2683487645,0.349956068,6591,Host-associated:Human:Skin
SRR6216751,0.2622544142,0.3508372311,13355,Host-associated:Human:Skin
